0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length
1,2020.01.02,00:00,1.32463,1.32499,1.32458,1.32485,698,1,0,0,0,0,0,,4.0,5.0
2,2020.01.02,00:30,1.32497,1.32544,1.32463,1.32472,1300,0,1,0,0,0,0,5.0,3.0,5.0
3,2020.01.02,01:00,1.32473,1.32611,1.32472,1.3254,1252,1,0,0,0,0,0,,3.0,5.0
4,2020.01.02,01:30,1.3254,1.32551,1.32493,1.32501,774,0,1,0,0,0,0,-2.0,5.0,5.0
5,2020.01.02,02:00,1.32499,1.32585,1.32469,1.32514,1217,1,0,0,1,0,0,3.0,2.0,4.0
6,2020.01.02,02:30,1.32517,1.32622,1.32508,1.32564,1175,1,0,0,1,0,0,,3.0,5.0
7,2020.01.02,03:00,1.32566,1.32661,1.32556,1.32636,1786,1,0,0,1,0,0,3.0,4.0,5.0
8,2020.01.02,03:30,1.32635,1.32649,1.32535,1.32559,1719,0,1,0,1,0,0,,5.0,4.0
9,2020.01.02,04:00,1.32557,1.32562,1.32445,1.32462,1385,0,1,0,1,0,0,-1.0,5.0,5.0
10,2020.01.02,04:30,1.32462,1.3253,1.32438,1.32485,1017,1,0,0,1,0,0,-2.0,3.0,4.0
11,2020.01.02,05:00,1.32486,1.32494,1.32159,1.32205,1822,0,1,0,1,0,0,4.0,5.0,5.0
12,2020.01.02,05:30,1.32205,1.32217,1.32029,1.32096,1729,0,1,0,1,0,0,,5.0,4.0
13,2020.01.02,06:00,1.32093,1.32175,1.32034,1.3211,1889,1,0,0,1,0,0,0.0,3.0,3.0
14,2020.01.02,06:30,1.32113,1.32179,1.32034,1.32073,1725,0,1,0,1,0,0,,3.0,4.0
15,2020.01.02,07:00,1.32073,1.32107,1.32022,1.32062,2472,0,1,0,1,0,0,3.0,3.0,3.0
16,2020.01.02,07:30,1.32063,1.32141,1.32041,1.32138,1527,1,0,0,1,0,0,-2.0,5.0,4.0
17,2020.01.02,08:00,1.32139,1.3224,1.32136,1.32145,1455,1,0,0,1,0,0,,1.0,5.0
18,2020.01.02,08:30,1.32148,1.3222,1.32064,1.32188,1669,1,0,0,1,0,0,1.0,4.0,3.0
19,2020.01.02,09:00,1.32202,1.32294,1.32149,1.322,2881,0,1,0,1,0,0,4.0,2.0,4.0
20,2020.01.02,09:30,1.32198,1.32262,1.32096,1.32197,3318,0,1,0,1,0,0,1.0,4.0,2.0
21,2020.01.02,10:00,1.32199,1.32264,1.32092,1.32121,3300,0,1,0,1,1,0,,4.0,5.0
22,2020.01.02,10:30,1.32121,1.32306,1.32118,1.32216,3708,1,0,0,1,1,0,1.0,3.0,5.0
23,2020.01.02,11:00,1.32214,1.32273,1.32168,1.322,2039,0,1,0,0,1,0,-3.0,3.0,4.0
24,2020.01.02,11:30,1.322,1.32235,1.32098,1.32144,2554,0,1,0,0,1,0,2.0,4.0,4.0
25,2020.01.02,12:00,1.32143,1.32149,1.32051,1.32062,3104,0,1,0,0,1,0,2.0,5.0,5.0
26,2020.01.02,12:30,1.32062,1.32141,1.3206,1.32113,2072,1,0,0,0,1,0,-2.0,4.0,5.0
27,2020.01.02,13:00,1.3211,1.32116,1.31915,1.31949,2907,0,1,0,0,1,0,3.0,5.0,5.0
28,2020.01.02,13:30,1.3195,1.32016,1.3189,1.31996,3022,1,0,0,0,1,0,0.0,5.0,3.0
29,2020.01.02,14:00,1.31992,1.32129,1.3195,1.32095,3096,1,0,0,0,1,0,0.0,5.0,4.0
30,2020.01.02,14:30,1.32097,1.32118,1.31907,1.3197,2412,0,1,0,0,1,0,-2.0,5.0,4.0
31,2020.01.02,15:00,1.31967,1.31973,1.31789,1.31806,3234,0,1,0,0,1,1,2.0,5.0,5.0
32,2020.01.02,15:30,1.31805,1.31826,1.31714,1.31762,3617,0,1,0,0,1,1,1.0,5.0,3.0
33,2020.01.02,16:00,1.31759,1.31776,1.3151,1.31524,3682,0,1,0,0,1,1,0.0,5.0,5.0
34,2020.01.02,16:30,1.31524,1.31575,1.31354,1.31472,4179,0,1,0,0,1,1,1.0,4.0,3.0
35,2020.01.02,17:00,1.31473,1.31734,1.31455,1.31717,3844,1,0,0,0,1,1,,5.0,5.0
36,2020.01.02,17:30,1.31716,1.31945,1.31716,1.31893,4346,1,0,0,0,1,1,1.0,4.0,5.0
37,2020.01.02,18:00,1.31892,1.31894,1.31533,1.31572,3819,0,1,0,0,1,1,-1.0,5.0,5.0
38,2020.01.02,18:30,1.31571,1.31576,1.31234,1.3127,3754,0,1,0,0,1,1,,5.0,5.0
39,2020.01.02,19:00,1.31271,1.31306,1.31152,1.31303,3219,1,0,0,0,0,1,-1.0,5.0,2.0
40,2020.01.02,19:30,1.31305,1.31345,1.31223,1.31344,3111,1,0,0,0,0,1,,5.0,2.0
41,2020.01.02,20:00,1.31343,1.31365,1.31251,1.31359,2691,1,0,0,0,0,1,-1.0,5.0,1.0
42,2020.01.02,20:30,1.31362,1.31439,1.31332,1.31397,2832,1,0,0,0,0,1,0.0,4.0,4.0
43,2020.01.02,21:00,1.31397,1.31406,1.31302,1.31333,2608,0,1,0,0,0,1,,5.0,4.0
44,2020.01.02,21:30,1.31328,1.3138,1.31281,1.31289,2418,0,1,0,0,0,1,,3.0,5.0
45,2020.01.02,22:00,1.31292,1.3145,1.31288,1.31444,1802,1,0,0,0,0,1,-2.0,5.0,5.0
46,2020.01.02,22:30,1.31444,1.31456,1.31357,1.31387,2471,0,1,0,0,0,1,2.0,5.0,4.0
47,2020.01.02,23:00,1.31388,1.31421,1.31356,1.31412,983,1,0,0,0,0,0,-4.0,5.0,3.0
48,2020.01.02,23:30,1.31412,1.31413,1.31295,1.31332,1449,0,1,0,0,0,0,3.0,5.0,4.0
49,2020.01.03,00:00,1.31295,1.31392,1.31295,1.3137,515,1,0,0,0,0,0,-4.0,4.0,5.0
50,2020.01.03,00:30,1.3137,1.31466,1.31315,1.31354,313,0,1,0,0,0,0,-2.0,2.0,4.0
51,2020.01.03,01:00,1.31354,1.31434,1.31315,1.3142,1639,1,0,0,0,0,0,5.0,5.0,4.0
52,2020.01.03,01:30,1.31417,1.31482,1.31416,1.31468,1078,1,0,0,0,0,0,-2.0,4.0,5.0
53,2020.01.03,02:00,1.31467,1.315,1.31399,1.31493,1445,1,0,0,1,0,0,2.0,5.0,2.0
54,2020.01.03,02:30,1.31492,1.31572,1.31489,1.31553,1322,1,0,0,1,0,0,,4.0,5.0
55,2020.01.03,03:00,1.31553,1.31601,1.31494,1.3152,1328,0,1,0,1,0,0,0.0,3.0,4.0
56,2020.01.03,03:30,1.31517,1.3152,1.31347,1.3138,2760,0,1,0,1,0,0,5.0,5.0,5.0
57,2020.01.03,04:00,1.31379,1.31421,1.31363,1.31399,2294,1,0,0,1,0,0,-1.0,4.0,4.0
58,2020.01.03,04:30,1.31403,1.31437,1.31229,1.31279,3149,0,1,0,1,0,0,2.0,5.0,4.0
59,2020.01.03,05:00,1.31279,1.3134,1.31266,1.31299,3594,1,0,0,1,0,0,1.0,3.0,5.0
60,2020.01.03,05:30,1.31298,1.31379,1.31293,1.31361,2412,1,0,0,1,0,0,-2.0,4.0,5.0
61,2020.01.03,06:00,1.31359,1.31372,1.31328,1.31368,1738,1,0,0,1,0,0,-2.0,5.0,2.0
62,2020.01.03,06:30,1.31369,1.31373,1.31244,1.31259,2101,0,1,0,1,0,0,2.0,5.0,5.0
63,2020.01.03,07:00,1.31255,1.31291,1.31157,1.31172,1926,0,1,0,1,0,0,,4.0,5.0
64,2020.01.03,07:30,1.31171,1.3126,1.31169,1.31211,1662,1,0,0,1,0,0,-1.0,3.0,5.0
65,2020.01.03,08:00,1.31209,1.31211,1.31051,1.31121,2307,0,1,0,1,0,0,2.0,5.0,3.0
66,2020.01.03,08:30,1.31121,1.31238,1.31102,1.31228,1032,1,0,0,1,0,0,-3.0,5.0,5.0
67,2020.01.03,09:00,1.31228,1.31235,1.31016,1.3107,2801,0,1,0,1,0,0,5.0,5.0,4.0
68,2020.01.03,09:30,1.31069,1.31101,1.30831,1.30915,4263,0,1,0,1,0,0,3.0,5.0,4.0
69,2020.01.03,10:00,1.30914,1.31178,1.30866,1.31166,4022,1,0,0,1,1,0,,5.0,5.0
70,2020.01.03,10:30,1.31166,1.31169,1.3096,1.30973,3878,0,1,0,1,1,0,,5.0,5.0
71,2020.01.03,11:00,1.30972,1.31006,1.30832,1.30854,4763,0,1,0,0,1,0,2.0,5.0,5.0
72,2020.01.03,11:30,1.30854,1.30882,1.30668,1.30683,4245,0,1,0,0,1,0,-1.0,5.0,5.0
73,2020.01.03,12:00,1.30682,1.30878,1.30681,1.30865,3589,1,0,0,0,1,0,-1.0,5.0,5.0
74,2020.01.03,12:30,1.30866,1.3088,1.30703,1.30784,3021,0,1,0,0,1,0,-1.0,5.0,3.0
75,2020.01.03,13:00,1.30784,1.30788,1.30672,1.30748,2834,0,1,0,0,1,0,,5.0,2.0
76,2020.01.03,13:30,1.30749,1.30749,1.30535,1.30588,3094,0,1,0,0,1,0,0.0,5.0,4.0
77,2020.01.03,14:00,1.30585,1.3067,1.3054,1.30644,2935,1,0,0,0,1,0,,5.0,4.0
78,2020.01.03,14:30,1.30643,1.30823,1.30636,1.30805,3117,1,0,0,0,1,0,0.0,5.0,5.0
79,2020.01.03,15:00,1.30804,1.31095,1.30803,1.30924,3204,1,0,0,0,1,1,0.0,3.0,5.0
80,2020.01.03,15:30,1.30925,1.30949,1.30721,1.30723,2735,0,1,0,0,1,1,-1.0,5.0,5.0
81,2020.01.03,16:00,1.30724,1.30898,1.30687,1.30718,3366,0,1,0,0,1,1,2.0,1.0,5.0
82,2020.01.03,16:30,1.3072,1.30858,1.30674,1.30787,3462,1,0,0,0,1,1,0.0,4.0,4.0
83,2020.01.03,17:00,1.30799,1.30944,1.30692,1.30901,3939,1,0,0,0,1,1,1.0,5.0,3.0
84,2020.01.03,17:30,1.309,1.30933,1.30702,1.30715,3789,0,1,0,0,1,1,,5.0,5.0
85,2020.01.03,18:00,1.30718,1.30955,1.30693,1.30939,2571,1,0,0,0,1,1,-2.0,5.0,5.0
86,2020.01.03,18:30,1.3094,1.3099,1.30895,1.30895,2895,0,1,0,0,1,1,1.0,3.0,5.0
87,2020.01.03,19:00,1.30896,1.30939,1.30803,1.30875,2570,0,1,0,0,0,1,-1.0,4.0,3.0
88,2020.01.03,19:30,1.30878,1.30905,1.30805,1.30882,2379,1,0,0,0,0,1,,4.0,2.0
89,2020.01.03,20:00,1.30881,1.30901,1.30772,1.30776,2451,0,1,0,0,0,1,0.0,5.0,5.0
90,2020.01.03,20:30,1.30775,1.30849,1.30728,1.30849,3273,1,0,0,0,0,1,2.0,5.0,4.0
91,2020.01.03,21:00,1.30849,1.30853,1.30747,1.30788,3572,0,1,0,0,0,1,0.0,5.0,4.0
92,2020.01.03,21:30,1.3079,1.308,1.30749,1.30786,2208,0,1,0,0,0,1,-2.0,5.0,2.0
93,2020.01.03,22:00,1.30793,1.30793,1.30727,1.30727,1440,0,1,0,0,0,1,-2.0,5.0,5.0
94,2020.01.03,22:30,1.30727,1.30761,1.30718,1.30733,1337,1,0,0,0,0,1,,2.0,4.0
95,2020.01.03,23:00,1.30727,1.30753,1.30709,1.3075,966,1,0,0,0,0,0,-2.0,5.0,3.0
96,2020.01.03,23:30,1.30749,1.30774,1.30728,1.30772,1088,1,0,0,0,0,0,1.0,5.0,3.0
97,2020.01.06,00:00,1.30798,1.30861,1.30657,1.3068,296,0,1,0,0,0,0,-4.0,4.0,5.0
98,2020.01.06,00:30,1.30679,1.30785,1.30647,1.30673,287,0,1,0,0,0,0,,2.0,5.0
99,2020.01.06,01:00,1.3066,1.30817,1.30647,1.30786,1588,1,0,0,0,0,0,5.0,5.0,5.0
100,2020.01.06,01:30,1.3078,1.30846,1.30764,1.30774,1984,0,1,0,0,0,0,2.0,1.0,5.0
101,2020.01.06,02:00,1.30773,1.30878,1.30768,1.30869,1942,1,0,0,1,0,0,,5.0,5.0
102,2020.01.06,02:30,1.30867,1.30875,1.30773,1.30794,1581,0,1,0,1,0,0,-1.0,5.0,4.0
103,2020.01.06,03:00,1.30793,1.30802,1.30755,1.30775,1141,0,1,0,1,0,0,-2.0,5.0,3.0
104,2020.01.06,03:30,1.30774,1.30816,1.30773,1.30789,1328,1,0,0,1,0,0,1.0,2.0,5.0
105,2020.01.06,04:00,1.30789,1.30871,1.30789,1.30869,660,1,0,0,1,0,0,-3.0,5.0,5.0
106,2020.01.06,04:30,1.3087,1.3088,1.30839,1.3087,595,0,0,1,1,0,0,,5.0,5.0
107,2020.01.06,05:00,1.30869,1.30904,1.3086,1.30875,794,1,0,0,1,0,0,2.0,2.0,4.0
108,2020.01.06,05:30,1.30875,1.3088,1.30809,1.30816,1017,0,1,0,1,0,0,2.0,5.0,5.0
109,2020.01.06,06:00,1.30815,1.3086,1.30811,1.30855,719,1,0,0,1,0,0,-2.0,5.0,5.0
110,2020.01.06,06:30,1.30855,1.3087,1.30808,1.30839,645,0,1,0,1,0,0,-1.0,4.0,3.0
111,2020.01.06,07:00,1.30846,1.30857,1.30817,1.30828,640,0,1,0,1,0,0,,4.0,4.0
112,2020.01.06,07:30,1.30831,1.30858,1.30797,1.30807,826,0,1,0,1,0,0,2.0,3.0,5.0
113,2020.01.06,08:00,1.30807,1.30816,1.30685,1.30783,1944,0,1,0,1,0,0,5.0,5.0,2.0
114,2020.01.06,08:30,1.30782,1.30833,1.30737,1.30829,2488,1,0,0,1,0,0,2.0,5.0,3.0
115,2020.01.06,09:00,1.30829,1.30946,1.30771,1.30893,3160,1,0,0,1,0,0,2.0,4.0,4.0
116,2020.01.06,09:30,1.30892,1.30904,1.30699,1.3074,3434,0,1,0,1,0,0,0.0,5.0,5.0
117,2020.01.06,10:00,1.30739,1.30832,1.30641,1.30745,3744,1,0,0,1,1,0,0.0,3.0,3.0
118,2020.01.06,10:30,1.30747,1.31085,1.30705,1.31058,3785,1,0,0,1,1,0,0.0,5.0,5.0
119,2020.01.06,11:00,1.31054,1.31269,1.3103,1.31233,4065,1,0,0,0,1,0,0.0,5.0,5.0
120,2020.01.06,11:30,1.31233,1.31485,1.31134,1.31451,5203,1,0,0,0,1,0,2.0,5.0,4.0
121,2020.01.06,12:00,1.31451,1.31665,1.31379,1.31591,4689,1,0,0,0,1,0,,4.0,4.0
122,2020.01.06,12:30,1.31591,1.31734,1.31516,1.31533,3530,0,1,0,0,1,0,-2.0,2.0,5.0
123,2020.01.06,13:00,1.31532,1.31731,1.31517,1.3165,3299,1,0,0,0,1,0,,4.0,5.0
124,2020.01.06,13:30,1.31651,1.31745,1.31509,1.31567,2720,0,1,0,0,1,0,-1.0,4.0,4.0
125,2020.01.06,14:00,1.31566,1.31569,1.31442,1.31464,3192,0,1,0,0,1,0,1.0,5.0,5.0
126,2020.01.06,14:30,1.31465,1.31558,1.31376,1.31376,3094,0,1,0,0,1,0,,3.0,5.0
127,2020.01.06,15:00,1.31375,1.31475,1.31346,1.31413,2749,1,0,0,0,1,1,-1.0,3.0,4.0
128,2020.01.06,15:30,1.31414,1.3149,1.31365,1.31402,2413,0,1,0,0,1,1,-1.0,2.0,4.0
129,2020.01.06,16:00,1.31403,1.31489,1.31332,1.31477,2381,1,0,0,0,1,1,,5.0,3.0
130,2020.01.06,16:30,1.31477,1.31611,1.31356,1.31363,3337,0,1,0,0,1,1,3.0,3.0,5.0
131,2020.01.06,17:00,1.31362,1.31541,1.31337,1.31509,2803,1,0,0,0,1,1,-1.0,5.0,5.0
132,2020.01.06,17:30,1.3151,1.31625,1.31456,1.31587,3396,1,0,0,0,1,1,2.0,4.0,4.0
133,2020.01.06,18:00,1.31586,1.31697,1.31518,1.31644,2516,1,0,0,0,1,1,-2.0,4.0,4.0
134,2020.01.06,18:30,1.31645,1.31674,1.31567,1.31624,1978,0,1,0,0,1,1,-2.0,4.0,3.0
135,2020.01.06,19:00,1.31624,1.31747,1.31573,1.31677,2234,1,0,0,0,0,1,1.0,3.0,4.0
136,2020.01.06,19:30,1.31676,1.31685,1.31563,1.31595,1615,0,1,0,0,0,1,-2.0,5.0,4.0
137,2020.01.06,20:00,1.31599,1.31679,1.31588,1.31647,1808,1,0,0,0,0,1,1.0,4.0,5.0
138,2020.01.06,20:30,1.31647,1.31666,1.31577,1.31578,1365,0,1,0,0,0,1,-2.0,4.0,5.0
139,2020.01.06,21:00,1.31577,1.31613,1.31554,1.31613,1591,1,0,0,0,0,1,1.0,5.0,4.0
140,2020.01.06,21:30,1.3161,1.31642,1.31557,1.31632,1390,1,0,0,0,0,1,-1.0,5.0,2.0
141,2020.01.06,22:00,1.31628,1.31647,1.31598,1.31613,1230,0,1,0,0,0,1,-1.0,4.0,4.0
142,2020.01.06,22:30,1.31613,1.31674,1.3159,1.31661,1396,1,0,0,0,0,1,1.0,5.0,4.0
143,2020.01.06,23:00,1.3166,1.3167,1.31639,1.31663,887,1,0,0,0,0,0,-2.0,4.0,2.0
144,2020.01.06,23:30,1.31664,1.31685,1.31653,1.31658,1135,0,1,0,0,0,0,2.0,2.0,5.0
145,2020.01.07,00:00,1.31666,1.31762,1.31666,1.31762,439,1,0,0,0,0,0,-4.0,5.0,5.0
146,2020.01.07,00:30,1.31756,1.31787,1.31714,1.31758,426,1,0,0,0,0,0,,4.0,3.0
147,2020.01.07,01:00,1.31759,1.31759,1.31698,1.31698,701,0,1,0,0,0,0,4.0,5.0,5.0
148,2020.01.07,01:30,1.31698,1.31722,1.31682,1.31709,2555,1,0,0,0,0,0,5.0,4.0,4.0
149,2020.01.07,02:00,1.31709,1.31743,1.31694,1.31733,1080,1,0,0,1,0,0,-3.0,4.0,4.0
150,2020.01.07,02:30,1.31734,1.31767,1.31697,1.31728,1106,0,1,0,1,0,0,0.0,3.0,3.0
151,2020.01.07,03:00,1.31728,1.31773,1.31698,1.31744,1104,1,0,0,1,0,0,,4.0,4.0
152,2020.01.07,03:30,1.31744,1.31748,1.3171,1.31717,942,0,1,0,1,0,0,-1.0,5.0,5.0
153,2020.01.07,04:00,1.31717,1.31726,1.31688,1.31711,1217,0,1,0,1,0,0,2.0,4.0,2.0
154,2020.01.07,04:30,1.31711,1.31718,1.31691,1.31694,657,0,1,0,1,0,0,-3.0,4.0,5.0
155,2020.01.07,05:00,1.31694,1.31732,1.31687,1.31723,826,1,0,0,1,0,0,2.0,4.0,5.0
156,2020.01.07,05:30,1.31722,1.31754,1.31715,1.31735,958,1,0,0,1,0,0,1.0,3.0,5.0
157,2020.01.07,06:00,1.31734,1.31754,1.3173,1.31743,1892,1,0,0,1,0,0,5.0,3.0,5.0
158,2020.01.07,06:30,1.31743,1.31744,1.31693,1.31708,1172,0,1,0,1,0,0,-2.0,5.0,4.0
159,2020.01.07,07:00,1.31708,1.31726,1.31701,1.31711,433,1,0,0,1,0,0,-4.0,2.0,4.0
160,2020.01.07,07:30,1.31712,1.31713,1.31532,1.31546,1252,0,1,0,1,0,0,5.0,5.0,5.0
161,2020.01.07,08:00,1.31547,1.31627,1.31477,1.31569,2403,1,0,0,1,0,0,5.0,4.0,3.0
162,2020.01.07,08:30,1.31569,1.31625,1.31544,1.3155,1511,0,1,0,1,0,0,-2.0,2.0,5.0
163,2020.01.07,09:00,1.3155,1.31615,1.31493,1.31528,2649,0,1,0,1,0,0,4.0,3.0,4.0
164,2020.01.07,09:30,1.31527,1.31527,1.31412,1.31442,3098,0,1,0,1,0,0,1.0,5.0,4.0
165,2020.01.07,10:00,1.31449,1.3191,1.31428,1.31866,4598,1,0,0,1,1,0,3.0,5.0,5.0
166,2020.01.07,10:30,1.31863,1.32123,1.31858,1.31876,4815,1,0,0,1,1,0,0.0,1.0,5.0
167,2020.01.07,11:00,1.31877,1.31973,1.31772,1.31898,3902,1,0,0,0,1,0,-1.0,4.0,3.0
168,2020.01.07,11:30,1.31898,1.31934,1.31676,1.31727,2914,0,1,0,0,1,0,-2.0,5.0,5.0
169,2020.01.07,12:00,1.31727,1.31736,1.31499,1.3151,3888,0,1,0,0,1,0,2.0,5.0,5.0
170,2020.01.07,12:30,1.31511,1.31606,1.31453,1.31604,3751,1,0,0,0,1,0,,5.0,4.0
171,2020.01.07,13:00,1.31604,1.31644,1.3154,1.31584,2857,0,1,0,0,1,0,-2.0,4.0,3.0
172,2020.01.07,13:30,1.31586,1.3159,1.31453,1.3147,2786,0,1,0,0,1,0,,5.0,5.0
173,2020.01.07,14:00,1.3147,1.31477,1.311,1.3119,4219,0,1,0,0,1,0,3.0,5.0,4.0
174,2020.01.07,14:30,1.3119,1.31284,1.31161,1.31205,3715,1,0,0,0,1,0,-1.0,2.0,4.0
175,2020.01.07,15:00,1.31205,1.31225,1.31024,1.3116,4127,0,1,0,0,1,1,1.0,5.0,2.0
176,2020.01.07,15:30,1.31158,1.31235,1.31107,1.31179,3339,1,0,0,0,1,1,-1.0,3.0,4.0
177,2020.01.07,16:00,1.3118,1.31358,1.31161,1.3128,2987,1,0,0,0,1,1,-1.0,4.0,5.0
178,2020.01.07,16:30,1.31277,1.31294,1.31042,1.31042,4037,0,1,0,0,1,1,2.0,5.0,5.0
179,2020.01.07,17:00,1.31048,1.31182,1.30951,1.31168,3898,1,0,0,0,1,1,,5.0,3.0
180,2020.01.07,17:30,1.31168,1.31243,1.31067,1.31213,3301,1,0,0,0,1,1,-1.0,5.0,3.0
181,2020.01.07,18:00,1.31212,1.31212,1.31063,1.31164,2301,0,1,0,0,1,1,-2.0,5.0,2.0
182,2020.01.07,18:30,1.31165,1.31326,1.31145,1.31257,2580,1,0,0,0,1,1,1.0,4.0,5.0
183,2020.01.07,19:00,1.31257,1.31395,1.31223,1.31306,2166,1,0,0,0,0,1,-1.0,3.0,5.0
184,2020.01.07,19:30,1.31307,1.31336,1.31244,1.31274,2325,0,1,0,0,0,1,0.0,4.0,4.0
185,2020.01.07,20:00,1.31274,1.31373,1.31272,1.31343,2449,1,0,0,0,0,1,0.0,4.0,5.0
186,2020.01.07,20:30,1.31342,1.31345,1.3125,1.31252,1319,0,1,0,0,0,1,-3.0,5.0,5.0
187,2020.01.07,21:00,1.31253,1.3127,1.31196,1.31216,2754,0,1,0,0,0,1,5.0,4.0,4.0
188,2020.01.07,21:30,1.31216,1.31235,1.31185,1.31204,2139,0,1,0,0,0,1,-2.0,4.0,4.0
189,2020.01.07,22:00,1.31204,1.31236,1.31191,1.31209,1590,1,0,0,0,0,1,-2.0,3.0,4.0
190,2020.01.07,22:30,1.31207,1.31228,1.31164,1.31184,1316,0,1,0,0,0,1,-1.0,4.0,4.0
191,2020.01.07,23:00,1.31183,1.31192,1.31136,1.31188,1232,1,0,0,0,0,0,,5.0,1.0
192,2020.01.07,23:30,1.31188,1.31214,1.31155,1.31186,1476,0,1,0,0,0,0,1.0,3.0,3.0
193,2020.01.08,00:00,1.31195,1.31259,1.31135,1.31149,763,0,1,0,0,0,0,-3.0,3.0,5.0
194,2020.01.08,00:30,1.31149,1.31177,1.31043,1.31127,876,0,1,0,0,0,0,1.0,4.0,2.0
195,2020.01.08,01:00,1.31137,1.31194,1.31048,1.31176,1201,1,0,0,0,0,0,2.0,5.0,2.0
196,2020.01.08,01:30,1.31176,1.31176,1.31059,1.31137,1380,0,1,0,0,0,0,1.0,5.0,2.0
197,2020.01.08,02:00,1.31136,1.31194,1.31098,1.31147,3283,1,0,0,1,0,0,5.0,3.0,4.0
198,2020.01.08,02:30,1.31148,1.31151,1.31065,1.31116,2076,0,1,0,1,0,0,-2.0,5.0,3.0
199,2020.01.08,03:00,1.31116,1.31164,1.31108,1.31131,1590,1,0,0,1,0,0,-2.0,3.0,5.0
200,2020.01.08,03:30,1.31132,1.31208,1.31129,1.31168,2771,1,0,0,1,0,0,4.0,3.0,5.0
201,2020.01.08,04:00,1.31173,1.3128,1.31173,1.31247,1852,1,0,0,1,0,0,-2.0,4.0,5.0
202,2020.01.08,04:30,1.31247,1.314,1.31232,1.3133,2553,1,0,0,1,0,0,2.0,3.0,5.0
203,2020.01.08,05:00,1.3133,1.31391,1.31254,1.31297,1966,0,1,0,1,0,0,-2.0,3.0,4.0
204,2020.01.08,05:30,1.31297,1.3131,1.31237,1.31306,1291,1,0,0,1,0,0,-2.0,5.0,1.0
205,2020.01.08,06:00,1.31307,1.31346,1.31287,1.31292,1328,0,1,0,1,0,0,0.0,2.0,5.0
206,2020.01.08,06:30,1.31291,1.31291,1.31182,1.31208,1319,0,1,0,1,0,0,,5.0,4.0
207,2020.01.08,07:00,1.31209,1.31226,1.31166,1.31219,1841,1,0,0,1,0,0,2.0,5.0,2.0
208,2020.01.08,07:30,1.31217,1.31244,1.31161,1.31175,936,0,1,0,1,0,0,-3.0,4.0,5.0
209,2020.01.08,08:00,1.31174,1.31335,1.31174,1.3132,1627,1,0,0,1,0,0,4.0,5.0,5.0
210,2020.01.08,08:30,1.31318,1.31338,1.31277,1.31293,1412,0,1,0,1,0,0,-1.0,4.0,4.0
211,2020.01.08,09:00,1.31302,1.3147,1.31266,1.31343,3362,1,0,0,1,0,0,5.0,2.0,5.0
212,2020.01.08,09:30,1.31342,1.31625,1.31334,1.31525,3529,1,0,0,1,0,0,0.0,4.0,5.0
213,2020.01.08,10:00,1.31528,1.31585,1.31391,1.31531,4967,1,0,0,1,1,0,3.0,4.0,2.0
214,2020.01.08,10:30,1.3153,1.31695,1.3144,1.31662,4387,1,0,0,1,1,0,-1.0,5.0,4.0
215,2020.01.08,11:00,1.31663,1.31693,1.31472,1.31487,3856,0,1,0,0,1,0,-1.0,5.0,5.0
216,2020.01.08,11:30,1.31486,1.31504,1.31103,1.31199,3504,0,1,0,0,1,0,,5.0,4.0
217,2020.01.08,12:00,1.31193,1.31266,1.30915,1.31243,5035,1,0,0,0,1,0,3.0,5.0,2.0
218,2020.01.08,12:30,1.31241,1.31361,1.31142,1.31199,3574,0,1,0,0,1,0,-2.0,3.0,4.0
219,2020.01.08,13:00,1.31198,1.31243,1.3114,1.31202,2914,1,0,0,0,1,0,-1.0,4.0,3.0
220,2020.01.08,13:30,1.31205,1.3123,1.30987,1.31085,3924,0,1,0,0,1,0,2.0,5.0,3.0
221,2020.01.08,14:00,1.31085,1.31197,1.31061,1.31092,3231,1,0,0,0,1,0,-1.0,2.0,5.0
222,2020.01.08,14:30,1.31092,1.31141,1.30801,1.30924,4257,0,1,0,0,1,0,2.0,5.0,4.0
223,2020.01.08,15:00,1.30924,1.31139,1.30857,1.31018,3892,1,0,0,0,1,1,,3.0,4.0
224,2020.01.08,15:30,1.31017,1.3125,1.31012,1.31217,3564,1,0,0,0,1,1,,5.0,5.0
225,2020.01.08,16:00,1.31218,1.31389,1.31194,1.31261,3629,1,0,0,0,1,1,0.0,2.0,5.0
226,2020.01.08,16:30,1.31261,1.31313,1.31198,1.31251,2818,0,1,0,0,1,1,-2.0,3.0,3.0
227,2020.01.08,17:00,1.31252,1.31336,1.31231,1.31256,2614,1,0,0,0,1,1,,2.0,5.0
228,2020.01.08,17:30,1.31254,1.31258,1.30873,1.30999,4047,0,1,0,0,1,1,3.0,5.0,4.0
229,2020.01.08,18:00,1.30998,1.31025,1.30829,1.30898,3774,0,1,0,0,1,1,,5.0,4.0
230,2020.01.08,18:30,1.30899,1.3109,1.30875,1.31089,4722,1,0,0,0,1,1,2.0,5.0,5.0
231,2020.01.08,19:00,1.31091,1.31171,1.31037,1.31137,3582,1,0,0,0,0,1,-2.0,4.0,3.0
232,2020.01.08,19:30,1.31139,1.31143,1.31011,1.31051,2720,0,1,0,0,0,1,-2.0,5.0,4.0
233,2020.01.08,20:00,1.31051,1.31051,1.30964,1.31015,2408,0,1,0,0,0,1,-1.0,5.0,3.0
